,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,classId,Path
0,29,30,5,6,24,25,0,data/Train/0/00000_00000_00000.png
1,0,0,0,0,0,0,0,data/Train/0/00000_00000_00000_noisy.png
2,0,0,0,0,0,0,0,data/Train/0/00000_00000_00000_rotated.png
3,0,0,0,0,0,0,0,data/Train/0/00000_00000_00000_zoomed.png
4,30,30,5,5,25,25,0,data/Train/0/00000_00000_00001.png
5,0,0,0,0,0,0,0,data/Train/0/00000_00000_00001_noisy.png
6,0,0,0,0,0,0,0,data/Train/0/00000_00000_00001_rotated.png
7,0,0,0,0,0,0,0,data/Train/0/00000_00000_00001_zoomed.png
8,30,30,5,5,25,25,0,data/Train/0/00000_00000_00002.png
9,0,0,0,0,0,0,0,data/Train/0/00000_00000_00002_noisy.png
10,0,0,0,0,0,0,0,data/Train/0/00000_00000_00002_rotated.png
11,0,0,0,0,0,0,0,data/Train/0/00000_00000_00002_zoomed.png
12,31,31,5,5,26,26,0,data/Train/0/00000_00000_00003.png
13,0,0,0,0,0,0,0,data/Train/0/00000_00000_00003_noisy.png
14,0,0,0,0,0,0,0,data/Train/0/00000_00000_00003_rotated.png
15,0,0,0,0,0,0,0,data/Train/0/00000_00000_00003_zoomed.png
16,30,32,5,6,25,26,0,data/Train/0/00000_00000_00004.png
17,0,0,0,0,0,0,0,data/Train/0/00000_00000_00004_noisy.png
18,0,0,0,0,0,0,0,data/Train/0/00000_00000_00004_rotated.png
19,0,0,0,0,0,0,0,data/Train/0/00000_00000_00004_zoomed.png
20,31,31,6,6,26,26,0,data/Train/0/00000_00000_00005.png
21,0,0,0,0,0,0,0,data/Train/0/00000_00000_00005_noisy.png
22,0,0,0,0,0,0,0,data/Train/0/00000_00000_00005_rotated.png
23,0,0,0,0,0,0,0,data/Train/0/00000_00000_00005_zoomed.png
24,33,34,6,6,28,28,0,data/Train/0/00000_00000_00006.png
25,0,0,0,0,0,0,0,data/Train/0/00000_00000_00006_noisy.png
26,0,0,0,0,0,0,0,data/Train/0/00000_00000_00006_rotated.png
27,0,0,0,0,0,0,0,data/Train/0/00000_00000_00006_zoomed.png
28,34,35,6,6,29,30,0,data/Train/0/00000_00000_00007.png
29,0,0,0,0,0,0,0,data/Train/0/00000_00000_00007_noisy.png
30,0,0,0,0,0,0,0,data/Train/0/00000_00000_00007_rotated.png
31,0,0,0,0,0,0,0,data/Train/0/00000_00000_00007_zoomed.png
32,33,34,5,5,28,29,0,data/Train/0/00000_00000_00008.png
33,0,0,0,0,0,0,0,data/Train/0/00000_00000_00008_noisy.png
34,0,0,0,0,0,0,0,data/Train/0/00000_00000_00008_rotated.png
35,0,0,0,0,0,0,0,data/Train/0/00000_00000_00008_zoomed.png
36,36,36,6,5,30,30,0,data/Train/0/00000_00000_00009.png
37,0,0,0,0,0,0,0,data/Train/0/00000_00000_00009_noisy.png
38,0,0,0,0,0,0,0,data/Train/0/00000_00000_00009_rotated.png
39,0,0,0,0,0,0,0,data/Train/0/00000_00000_00009_zoomed.png
40,35,36,5,5,30,31,0,data/Train/0/00000_00000_00010.png
41,0,0,0,0,0,0,0,data/Train/0/00000_00000_00010_noisy.png
42,0,0,0,0,0,0,0,data/Train/0/00000_00000_00010_rotated.png
43,0,0,0,0,0,0,0,data/Train/0/00000_00000_00010_zoomed.png
44,37,38,6,6,32,33,0,data/Train/0/00000_00000_00011.png
45,0,0,0,0,0,0,0,data/Train/0/00000_00000_00011_noisy.png
46,0,0,0,0,0,0,0,data/Train/0/00000_00000_00011_rotated.png
47,0,0,0,0,0,0,0,data/Train/0/00000_00000_00011_zoomed.png
48,37,38,5,6,32,33,0,data/Train/0/00000_00000_00012.png
49,0,0,0,0,0,0,0,data/Train/0/00000_00000_00012_noisy.png
50,0,0,0,0,0,0,0,data/Train/0/00000_00000_00012_rotated.png
51,0,0,0,0,0,0,0,data/Train/0/00000_00000_00012_zoomed.png
52,40,39,6,5,35,34,0,data/Train/0/00000_00000_00013.png
53,0,0,0,0,0,0,0,data/Train/0/00000_00000_00013_noisy.png
54,0,0,0,0,0,0,0,data/Train/0/00000_00000_00013_rotated.png
55,0,0,0,0,0,0,0,data/Train/0/00000_00000_00013_zoomed.png
56,41,42,5,6,36,37,0,data/Train/0/00000_00000_00014.png
57,0,0,0,0,0,0,0,data/Train/0/00000_00000_00014_noisy.png
58,0,0,0,0,0,0,0,data/Train/0/00000_00000_00014_rotated.png
59,0,0,0,0,0,0,0,data/Train/0/00000_00000_00014_zoomed.png
60,44,44,6,6,39,39,0,data/Train/0/00000_00000_00015.png
61,0,0,0,0,0,0,0,data/Train/0/00000_00000_00015_noisy.png
62,0,0,0,0,0,0,0,data/Train/0/00000_00000_00015_rotated.png
63,0,0,0,0,0,0,0,data/Train/0/00000_00000_00015_zoomed.png
64,46,44,6,5,41,39,0,data/Train/0/00000_00000_00016.png
65,0,0,0,0,0,0,0,data/Train/0/00000_00000_00016_noisy.png
66,0,0,0,0,0,0,0,data/Train/0/00000_00000_00016_rotated.png
67,0,0,0,0,0,0,0,data/Train/0/00000_00000_00016_zoomed.png
68,47,48,6,6,42,42,0,data/Train/0/00000_00000_00017.png
69,0,0,0,0,0,0,0,data/Train/0/00000_00000_00017_noisy.png
70,0,0,0,0,0,0,0,data/Train/0/00000_00000_00017_rotated.png
71,0,0,0,0,0,0,0,data/Train/0/00000_00000_00017_zoomed.png
72,50,48,5,5,45,43,0,data/Train/0/00000_00000_00018.png
73,0,0,0,0,0,0,0,data/Train/0/00000_00000_00018_noisy.png
74,0,0,0,0,0,0,0,data/Train/0/00000_00000_00018_rotated.png
75,0,0,0,0,0,0,0,data/Train/0/00000_00000_00018_zoomed.png
76,53,51,5,5,48,46,0,data/Train/0/00000_00000_00019.png
77,0,0,0,0,0,0,0,data/Train/0/00000_00000_00019_noisy.png
78,0,0,0,0,0,0,0,data/Train/0/00000_00000_00019_rotated.png
79,0,0,0,0,0,0,0,data/Train/0/00000_00000_00019_zoomed.png
80,57,54,6,5,51,49,0,data/Train/0/00000_00000_00020.png
81,0,0,0,0,0,0,0,data/Train/0/00000_00000_00020_noisy.png
82,0,0,0,0,0,0,0,data/Train/0/00000_00000_00020_rotated.png
83,0,0,0,0,0,0,0,data/Train/0/00000_00000_00020_zoomed.png
84,59,58,6,6,53,53,0,data/Train/0/00000_00000_00021.png
85,0,0,0,0,0,0,0,data/Train/0/00000_00000_00021_noisy.png
86,0,0,0,0,0,0,0,data/Train/0/00000_00000_00021_rotated.png
87,0,0,0,0,0,0,0,data/Train/0/00000_00000_00021_zoomed.png
88,63,61,6,5,57,56,0,data/Train/0/00000_00000_00022.png
89,0,0,0,0,0,0,0,data/Train/0/00000_00000_00022_noisy.png
90,0,0,0,0,0,0,0,data/Train/0/00000_00000_00022_rotated.png
91,0,0,0,0,0,0,0,data/Train/0/00000_00000_00022_zoomed.png
92,70,70,7,7,64,64,0,data/Train/0/00000_00000_00023.png
93,0,0,0,0,0,0,0,data/Train/0/00000_00000_00023_noisy.png
94,0,0,0,0,0,0,0,data/Train/0/00000_00000_00023_rotated.png
95,0,0,0,0,0,0,0,data/Train/0/00000_00000_00023_zoomed.png
96,76,76,7,7,70,70,0,data/Train/0/00000_00000_00024.png
97,0,0,0,0,0,0,0,data/Train/0/00000_00000_00024_noisy.png
98,0,0,0,0,0,0,0,data/Train/0/00000_00000_00024_rotated.png
99,0,0,0,0,0,0,0,data/Train/0/00000_00000_00024_zoomed.png
100,85,86,7,8,78,79,0,data/Train/0/00000_00000_00025.png
101,0,0,0,0,0,0,0,data/Train/0/00000_00000_00025_noisy.png
102,0,0,0,0,0,0,0,data/Train/0/00000_00000_00025_rotated.png
103,0,0,0,0,0,0,0,data/Train/0/00000_00000_00025_zoomed.png
104,97,97,8,8,89,88,0,data/Train/0/00000_00000_00026.png
105,0,0,0,0,0,0,0,data/Train/0/00000_00000_00026_noisy.png
106,0,0,0,0,0,0,0,data/Train/0/00000_00000_00026_rotated.png
107,0,0,0,0,0,0,0,data/Train/0/00000_00000_00026_zoomed.png
108,108,110,9,10,99,101,0,data/Train/0/00000_00000_00027.png
109,0,0,0,0,0,0,0,data/Train/0/00000_00000_00027_noisy.png
110,0,0,0,0,0,0,0,data/Train/0/00000_00000_00027_rotated.png
111,0,0,0,0,0,0,0,data/Train/0/00000_00000_00027_zoomed.png
112,124,127,10,11,113,116,0,data/Train/0/00000_00000_00028.png
113,0,0,0,0,0,0,0,data/Train/0/00000_00000_00028_noisy.png
114,0,0,0,0,0,0,0,data/Train/0/00000_00000_00028_rotated.png
115,0,0,0,0,0,0,0,data/Train/0/00000_00000_00028_zoomed.png
116,144,148,12,13,132,136,0,data/Train/0/00000_00000_00029.png
117,0,0,0,0,0,0,0,data/Train/0/00000_00000_00029_noisy.png
118,0,0,0,0,0,0,0,data/Train/0/00000_00000_00029_rotated.png
119,0,0,0,0,0,0,0,data/Train/0/00000_00000_00029_zoomed.png
120,29,30,6,6,24,25,0,data/Train/0/00000_00001_00000.png
121,0,0,0,0,0,0,0,data/Train/0/00000_00001_00000_noisy.png
122,0,0,0,0,0,0,0,data/Train/0/00000_00001_00000_rotated.png
123,0,0,0,0,0,0,0,data/Train/0/00000_00001_00000_zoomed.png
124,30,30,6,5,25,25,0,data/Train/0/00000_00001_00001.png
125,0,0,0,0,0,0,0,data/Train/0/00000_00001_00001_noisy.png
126,0,0,0,0,0,0,0,data/Train/0/00000_00001_00001_rotated.png
127,0,0,0,0,0,0,0,data/Train/0/00000_00001_00001_zoomed.png
128,30,29,6,5,25,24,0,data/Train/0/00000_00001_00002.png
129,0,0,0,0,0,0,0,data/Train/0/00000_00001_00002_noisy.png
130,0,0,0,0,0,0,0,data/Train/0/00000_00001_00002_rotated.png
131,0,0,0,0,0,0,0,data/Train/0/00000_00001_00002_zoomed.png
132,31,31,6,6,26,26,0,data/Train/0/00000_00001_00003.png
133,0,0,0,0,0,0,0,data/Train/0/00000_00001_00003_noisy.png
134,0,0,0,0,0,0,0,data/Train/0/00000_00001_00003_rotated.png
135,0,0,0,0,0,0,0,data/Train/0/00000_00001_00003_zoomed.png
136,31,31,5,5,26,26,0,data/Train/0/00000_00001_00004.png
